accession,taxid
KP980378.1,240685
KP980377.1,912391
KP980376.1,312774
KP980375.1,912379
KP980374.1,1708568
KP980373.1,234466
KP980372.1,240688
KP980371.1,240689
KP980370.1,240685
KP980369.1,240691
KP980368.1,1708569
KP980367.1,912391
KP980366.1,433004
KP980365.1,661416
KP980364.1,240688
KP980363.1,669647
KP980362.1,912399
KP980361.1,240685
KP980360.1,661416
KP980359.1,513295
KP980358.1,240688
KP980357.1,432996
KJ776788.1,1046084
KJ755831.1,310254
KP153089.1,996327
KP153088.1,199523
KP153087.1,199523
KP153086.1,330183
KP153085.1,1708699
KP153084.1,1708699
KP153083.1,1708699
KP153082.1,1708699
KP153081.1,1708699
KP313689.1,1708249
KP313688.1,1196471
KP313687.1,1564203
KP313686.1,1196492
KP313685.1,1196498
KP313684.1,1708250
KP313683.1,1708248
KP313681.1,191245
KP313680.1,191245
KP313679.1,1708251
KP313678.1,1708251
KP313677.1,1708251
KT249884.1,50225
KT249883.1,50225
KT249880.1,50225
KJ540225.1,310254
KJ540224.1,129749
KJ540223.1,129744
KJ540222.1,129744
KJ540221.1,1301356
KJ540220.1,52830
KR857284.1,912471
JX564762.1,1231697
KP674377.1,701532
KP674376.1,701532
KP674375.1,701532
KP674374.1,701532
KP674373.1,701532
KP674372.1,701532
KP674371.1,701532
KP674370.1,701532
KP674369.1,701532
KP674368.1,701532
KP674367.1,701532
KP674366.1,701532
KP674365.1,701532
KP674364.1,701532
KP674363.1,701532
KP674362.1,701532
KP674361.1,701532
KP674360.1,701532
KP674359.1,701532
KP674358.1,701532
KP674357.1,701532
KP674356.1,701532
KP674355.1,701532
KP674354.1,701532
KP674353.1,701532
KP674352.1,701532
KP674351.1,701532
KP674350.1,701532
KP674349.1,701532
KP674348.1,701532
KP674347.1,701532
KP674346.1,701532
KP674345.1,701532
KP674344.1,701532
KP674343.1,701532
KP674342.1,701532
KP674341.1,701532
KP674340.1,701532
KP674339.1,701532
KP674338.1,701532
KP674337.1,701532
KP674336.1,701532
KP674335.1,701532
KP674334.1,701532
KP674333.1,701532
KP674332.1,701532
KP674331.1,701532
KP674330.1,701532
KP674329.1,701532
KP273661.1,1586229
KP273660.1,1586228
KP273659.1,1052009
KP273658.1,418180
KP273657.1,1586227
KP273656.1,1197106
KP273655.1,1586226
KP273654.1,1197103
KP273653.1,1586224
KP273652.1,1586215
KP273651.1,1586223
KP273650.1,1586223
KP273649.1,1586223
KP273648.1,1586223
KP273647.1,1586221
KP273646.1,1586221
KP273645.1,1586221
KP273644.1,1197098
KP273643.1,140812
KP273642.1,140812
KP273641.1,1586220
KP273640.1,1586219
KP273639.1,1586218
KP273638.1,1586217
KP273637.1,69853
KP273636.1,140795
KP273635.1,1586216
KP273634.1,1586214
KP273633.1,1586213
KP273632.1,69848
KP273631.1,1586225
KP273630.1,1586212
KP273629.1,1586210
KP273628.1,1586208
KM575845.1,430625
KM575844.1,1233959
KM502301.1,1046084
KM502300.1,1578718
KM502299.1,669672
KM502298.1,1046084
KM502297.1,1046084
KM379150.1,1579048
KM363385.1,430625
KM363384.1,310254
KM363383.1,430624
KM363382.1,310254
KM363381.1,1233959
KM588073.1,47064
EF685970.1,454198
EF685969.1,119829
EF685968.1,649199
DQ384130.1,241207
DQ384189.1,372282
DQ384188.1,372281
DQ384187.1,372281
DQ384186.1,372281
DQ384185.1,372280
DQ384184.1,372280
DQ384183.1,372279
DQ384182.1,312762
DQ384181.1,312762
DQ384180.1,312762
DQ384179.1,312762
DQ384178.1,312762
DQ384177.1,372278
DQ384176.1,372277
DQ384175.1,372277
DQ384174.1,372277
DQ384173.1,372277
DQ384172.1,372276
DQ384171.1,372275
DQ384170.1,241218
DQ384169.1,241218
DQ384168.1,241218
DQ384167.1,372274
DQ384166.1,372274
DQ384165.1,372273
DQ384164.1,241214
DQ384163.1,372272
DQ384162.1,372272
DQ384161.1,372272
DQ384160.1,372271
DQ384159.1,372271
DQ384158.1,372271
DQ384157.1,372271
DQ384156.1,372271
DQ384155.1,372270
DQ384154.1,372270
DQ384153.1,372270
DQ384152.1,372269
DQ384151.1,372269
DQ384150.1,372268
DQ384149.1,372268
DQ384148.1,372268
DQ384147.1,372268
DQ384146.1,372267
DQ384145.1,372267
DQ384144.1,372464
DQ384143.1,372266
DQ384142.1,372266
DQ384141.1,372266
DQ384140.1,372266
DQ384139.1,372266
DQ384138.1,372266
DQ384137.1,372265
DQ384136.1,372265
DQ384135.1,372265
DQ384134.1,372265
DQ384133.1,372263
DQ384132.1,372263
DQ384131.1,241207
DQ384129.1,241207
DQ384128.1,241207
DQ384127.1,241205
DQ384126.1,241205
DQ384125.1,241205
DQ384124.1,241205
DQ384123.1,241205
DQ384122.1,241205
DQ384121.1,241205
DQ384120.1,372262
DQ384119.1,241204
DQ384118.1,372261
DQ384117.1,372261
DQ384116.1,372261
DQ384115.1,372260
DQ384114.1,372259
DQ384113.1,372273
DQ384112.1,372257
DQ384111.1,372256
AF359750.1,119829
KF437460.1,1522217
KF437459.1,1522235
KF437458.1,1522215
KF437457.1,268104
KF437456.1,1522207
KF437455.1,1522221
KF437454.1,1522221
KF437453.1,524207
KF437452.1,1522227
KF437451.1,1522226
KF437450.1,1522225
KF437449.1,1522224
KF437448.1,1522223
KF437447.1,1522222
KF437446.1,90019
KF437445.1,1522210
KF437444.1,1522218
KF437443.1,1522236
KF437442.1,1522237
KF437441.1,1522238
KF437440.1,1522239
KF437439.1,1522241
KF437438.1,1522211
KF437437.1,1522214
KF437436.1,1522214
KF437435.1,1522214
KF437434.1,1522214
KF437433.1,1522220
KF437432.1,1522242
KF437431.1,1522216
KF437430.1,268104
KF437429.1,268104
KF437428.1,1522219
KF437427.1,1522231
KF437426.1,1522230
KF437425.1,1522228
KF437424.1,1522229
KF437423.1,1522208
KF437422.1,1522208
KF437421.1,1522208
KF437420.1,1522208
KF437419.1,1220051
KF437418.1,125327
KF437417.1,1522219
KF437416.1,268104
KF437415.1,1220051
KF437414.1,1220051
KF437413.1,1522234
KF437412.1,1522209
KF437411.1,1522233
KF437410.1,1522240
KF437409.1,1522214
KF437408.1,1522232
KF437407.1,333970
KF437406.1,333970
KF437405.1,1522220
KF437404.1,118633
KF437403.1,118633
KF459943.1,1522212
KF459942.1,1522212
KJ561239.1,1521455
KJ561233.1,129741
