,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,G07,SYBR,,Unkn,,-5.00370837203473,,Unknown,NoCall,False
,G08,SYBR,,Unkn,,-2.11953222304628,,Unknown,NoCall,False
,G09,SYBR,,Unkn,,-3.90838643187644,,Unknown,NoCall,False
,G10,SYBR,,Unkn,,-4.90156156909197,,Unknown,NoCall,False
,G11,SYBR,,Unkn,,-2.69494692856661,,Unknown,NoCall,False
,G12,SYBR,,Unkn,,-3.03135654591133,,Unknown,NoCall,False
,H01,SYBR,,Unkn,C4,1587.59853015525,(+) Positive,Unknown,Positive,False
,H02,SYBR,,Unkn,C4,3057.49049956546,(+) Positive,Unknown,Positive,False
,H03,SYBR,,Unkn,F4,1449.55104189389,(+) Positive,Unknown,Positive,False
,H04,SYBR,,Unkn,F4,1006.44795287441,(+) Positive,Unknown,Positive,False
,H05,SYBR,,Unkn,H4,1530.24933790562,(+) Positive,Unknown,Positive,False
,H06,SYBR,,Unkn,H4,2039.80638503233,(+) Positive,Unknown,Positive,False
,H07,SYBR,,Unkn,,-3.28983210812594,,Unknown,NoCall,False
,H08,SYBR,,Unkn,,-4.46398522127556,,Unknown,NoCall,False
,H09,SYBR,,Unkn,,-3.52295811824997,,Unknown,NoCall,False
,H10,SYBR,,Unkn,,-3.28549509942013,,Unknown,NoCall,False
,H11,SYBR,,Unkn,,-3.93819819005803,,Unknown,NoCall,False
,H12,SYBR,,Unkn,,-2.28401314034827,,Unknown,NoCall,False
