,Well,Fluor,Target,Content,Sample,Melt Temperature,Peak Height,Begin Temperature,End Temperature,Well Note
,D08,SYBR,,Unkn,,None,None,None,None,
,D09,SYBR,,Unkn,,None,None,None,None,
,D10,SYBR,,Unkn,,None,None,None,None,
,D11,SYBR,,Unkn,,None,None,None,None,
,D12,SYBR,,Unkn,,None,None,None,None,
,E01,SYBR,,Unkn,C1,85.7,1241.87077824224,83,87.1,
,E02,SYBR,,Unkn,C1,85.6,1267.44935929697,82.8,87.5,
,E03,SYBR,,Unkn,F1,86.1,888.17118729455,81.8,89.5,
,E04,SYBR,,Unkn,F1,86.2,584.761302068387,82.5,89.2,
,E05,SYBR,,Unkn,H1,86.2,1156.6192618049,82.9,89.1,
,E06,SYBR,,Unkn,H1,86.2,935.353130482721,83.3,89,
,E07,SYBR,,Unkn,,None,None,None,None,
,E08,SYBR,,Unkn,,None,None,None,None,
,E09,SYBR,,Unkn,,None,None,None,None,
,E10,SYBR,,Unkn,,None,None,None,None,
,E11,SYBR,,Unkn,,None,None,None,None,
,E12,SYBR,,Unkn,,None,None,None,None,
,F01,SYBR,,Unkn,C2,85.5,1152.29561630521,82.5,87.4,
,F02,SYBR,,Unkn,C2,85.5,1363.07075369173,81.9,87.7,
,F03,SYBR,,Unkn,F2,86,645.064779395908,82.5,89.4,
,F04,SYBR,,Unkn,F2,86.1,436.322660501976,82.7,89.1,
,F05,SYBR,,Unkn,H2,86.1,730.452803072111,82.2,88.9,
,F06,SYBR,,Unkn,H2,86.1,862.751181718308,83.1,89,
,F07,SYBR,,Unkn,,None,None,None,None,
,F08,SYBR,,Unkn,,None,None,None,None,
,F09,SYBR,,Unkn,,None,None,None,None,
,F10,SYBR,,Unkn,,None,None,None,None,
,F11,SYBR,,Unkn,,None,None,None,None,
,F12,SYBR,,Unkn,,None,None,None,None,
,G01,SYBR,,Unkn,C3,85.5,1164.20443824223,81.8,87.5,
,G02,SYBR,,Unkn,C3,85.6,1388.83707140937,81.8,87.6,
,G03,SYBR,,Unkn,F3,86,786.638305167251,81.6,89.1,
,G04,SYBR,,Unkn,F3,86,461.850745509302,83.4,89.3,
,G05,SYBR,,Unkn,H3,86,779.759170501202,83.2,88,
,G06,SYBR,,Unkn,H3,86,913.533103760024,82.2,89.2,
,G07,SYBR,,Unkn,,None,None,None,None,
,G08,SYBR,,Unkn,,None,None,None,None,
,G09,SYBR,,Unkn,,None,None,None,None,
,G10,SYBR,,Unkn,,None,None,None,None,
,G11,SYBR,,Unkn,,None,None,None,None,
,G12,SYBR,,Unkn,,None,None,None,None,
,H01,SYBR,,Unkn,C4,85.7,715.027051816736,83.5,86.9,
,H02,SYBR,,Unkn,C4,85.5,1286.90784413733,82.2,87,
,H03,SYBR,,Unkn,F4,86,611.607836353549,83.6,89,
,H04,SYBR,,Unkn,F4,86,496.335252606063,83.2,88.7,
,H05,SYBR,,Unkn,H4,86,749.639612378647,82.9,88.7,
,H06,SYBR,,Unkn,H4,86,951.78935665114,83.2,88.9,
,H07,SYBR,,Unkn,,None,None,None,None,
,H08,SYBR,,Unkn,,None,None,None,None,
,H09,SYBR,,Unkn,,None,None,None,None,
,H10,SYBR,,Unkn,,None,None,None,None,
,H11,SYBR,,Unkn,,None,None,None,None,
,H12,SYBR,,Unkn,,None,None,None,None,
