,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,E02,SYBR,,Unkn,C1,3780.49151397839,(+) Positive,Unknown,Positive,False
,E03,SYBR,,Unkn,R.Sph,5280.28633892858,(+) Positive,Unknown,Positive,False
,E04,SYBR,,Unkn,R.Sph,4878.0476349566,(+) Positive,Unknown,Positive,False
,E05,SYBR,,Unkn,,-0.911047456816777,,Unknown,NoCall,False
,E06,SYBR,,Unkn,,-2.92102158113712,,Unknown,NoCall,False
,E07,SYBR,,Unkn,,-0.637690846938585,,Unknown,NoCall,False
,E08,SYBR,,Unkn,,-1.7862842407998,,Unknown,NoCall,False
,E09,SYBR,,Unkn,,-1.04145607594683,,Unknown,NoCall,False
,E10,SYBR,,Unkn,,-1.50926149010156,,Unknown,NoCall,False
,E11,SYBR,,Unkn,,-2.27511286986328,,Unknown,NoCall,False
,E12,SYBR,,Unkn,,-0.846333730511105,,Unknown,NoCall,False
,F01,SYBR,,Unkn,C2,3307.93754258851,(+) Positive,Unknown,Positive,False
,F02,SYBR,,Unkn,C2,3892.28406065735,(+) Positive,Unknown,Positive,False
,F03,SYBR,,Unkn,H.Flu,5346.00280610746,(+) Positive,Unknown,Positive,False
,F04,SYBR,,Unkn,H.Flu,5391.54669642419,(+) Positive,Unknown,Positive,False
,F05,SYBR,,Unkn,,0.437873936305004,,Unknown,NoCall,False
,F06,SYBR,,Unkn,,-0.352548050736368,,Unknown,NoCall,False
,F07,SYBR,,Unkn,,-2.34330351496446,,Unknown,NoCall,False
,F08,SYBR,,Unkn,,-0.817186049513748,,Unknown,NoCall,False
,F09,SYBR,,Unkn,,-0.690301919699596,,Unknown,NoCall,False
,F10,SYBR,,Unkn,,-1.15063784983176,,Unknown,NoCall,False
,F11,SYBR,,Unkn,,-0.675593116956952,,Unknown,NoCall,False
,F12,SYBR,,Unkn,,-0.0950227001893836,,Unknown,NoCall,False
,G01,SYBR,,Unkn,C3,3544.41072681298,(+) Positive,Unknown,Positive,False
,G02,SYBR,,Unkn,C3,3097.43762643817,(+) Positive,Unknown,Positive,False
,G03,SYBR,,Unkn,E.coli,5313.503484177,(+) Positive,Unknown,Positive,False
,G04,SYBR,,Unkn,E.coli,5245.92099959093,(+) Positive,Unknown,Positive,False
,G05,SYBR,,Unkn,,-0.979981127792507,,Unknown,NoCall,False
,G06,SYBR,,Unkn,,-1.29759372380176,,Unknown,NoCall,False
,G07,SYBR,,Unkn,,-1.46214654522855,,Unknown,NoCall,False
,G08,SYBR,,Unkn,,-1.60022562865715,,Unknown,NoCall,False
,G09,SYBR,,Unkn,,-1.57564589813801,,Unknown,NoCall,False
,G10,SYBR,,Unkn,,-0.541715865964943,,Unknown,NoCall,False
,G11,SYBR,,Unkn,,0.419211083317623,,Unknown,NoCall,False
,G12,SYBR,,Unkn,,-1.75755268803596,,Unknown,NoCall,False
,H01,SYBR,,Unkn,C4,1444.09212128837,(+) Positive,Unknown,Positive,False
,H02,SYBR,,Unkn,C4,1892.43392632097,(+) Positive,Unknown,Positive,False
,H03,SYBR,,Unkn,Mixed_Bact,3848.78215901263,(+) Positive,Unknown,Positive,False
,H04,SYBR,,Unkn,Mixed_Bact,4146.57964427499,(+) Positive,Unknown,Positive,False
,H05,SYBR,,Unkn,,-1.706471083408,,Unknown,NoCall,False
,H06,SYBR,,Unkn,,-1.05534423583076,,Unknown,NoCall,False
,H07,SYBR,,Unkn,,-1.79523145461026,,Unknown,NoCall,False
,H08,SYBR,,Unkn,,-0.270686442968326,,Unknown,NoCall,False
,H09,SYBR,,Unkn,,-1.3299989985404,,Unknown,NoCall,False
,H10,SYBR,,Unkn,,-1.57482655482254,,Unknown,NoCall,False
,H11,SYBR,,Unkn,,-2.53080775439548,,Unknown,NoCall,False
,H12,SYBR,,Unkn,,-1.56896022340507,,Unknown,NoCall,False
