Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
Plate1-H6-CRS	Default	6/24/2015	10:31	2.98	0.060	0.018	3.33	0.17	50.00	230	0.342	0.005
Plate1-H7-CRS	Default	6/24/2015	10:32	41.77	0.835	0.428	1.95	1.22	50.00	230	0.686	0.019
Plate1-H8-CRS	Default	6/24/2015	10:33	18.36	0.367	0.198	1.86	0.75	50.00	230	0.490	0.005
Plate1-H10-CRS	Default	6/24/2015	10:34	50.16	1.003	0.534	1.88	1.19	50.00	230	0.844	0.140
Plate1-H9-CRS	Default	6/24/2015	10:35	45.51	0.910	0.483	1.89	1.25	50.00	230	0.729	0.042
Plate1-H11-CRS	Default	6/24/2015	10:36	5.30	0.106	0.047	2.27	0.32	50.00	230	0.335	0.056
Plate1-H12-CRS	Default	6/24/2015	10:36	23.23	0.465	0.235	1.97	0.88	50.00	230	0.527	0.032
Plate1-C1-CRS	Default	6/25/2015	10:45	183.53	3.671	1.948	1.88	1.76	50.00	230	2.088	0.027
Plate1-C2-CRS	Default	6/25/2015	10:47	177.30	3.546	1.872	1.89	1.74	50.00	230	2.036	0.001
Plate1-C3-CRS	Default	6/25/2015	10:50	95.40	1.908	0.994	1.92	1.43	50.00	230	1.330	-0.004
Plate1-C4-CRS	Default	6/25/2015	10:51	86.75	1.735	0.917	1.89	1.29	50.00	230	1.344	-0.002
Plate1-C5-CRS	Default	6/25/2015	10:52	64.16	1.283	0.670	1.92	1.19	50.00	230	1.075	0.009
Plate1-C6-CRS	Default	6/25/2015	10:53	100.92	2.018	1.058	1.91	1.54	50.00	230	1.311	-0.030
Plate1-C7-CRS	Default	6/25/2015	10:54	37.73	0.755	0.384	1.97	0.97	50.00	230	0.777	0.061
Plate1-C8-CRS	Default	6/25/2015	10:55	103.68	2.074	1.096	1.89	1.57	50.00	230	1.323	0.032
Plate1-C10(9)-CRS	Default	6/25/2015	10:56	105.49	2.110	1.110	1.90	1.51	50.00	230	1.395	-0.004
